25	1956	2	22	It takes up the theme of the official emblem, made up of the emblem of the Italian National Olympic Committee, as well as a view of the site of the host city. 11,000 copies were made.
26	1960	1	22	This was the result of a competition in which some 212 artists participated. It is made up of a Roman she-wolf, from which Remus and Romulus, founders of the city of Rome, are suckling, on top of a column. On this, there is a victorious athlete being crowned in accordance with Roman custom; around him, people dressed in togas cheering him. Some 290,000 copies in 11 languages were produced.
27	1960	2	45	Takes up the design of the official emblem. The background represents a snow field. 57,228 copies were produced in five languages.
28	1964	1	23	It recalls the official emblem, composed of the Olympic rings superimposed on the emblem of the Japanese national flag, representing the rising sun. There was a total of four official posters, all designed by Yusaku Kamekura. They were all made by photoengraving using several colours, highlighting the technology of the Japanese printing industry. The posters themselves received a number of prizes for their excellence, including the Milan Prize for poster graphics. 100,000 copies were made.
29	1964	2	3	
30	1968	1	25	The series of posters for these Games came from the collaboration of three artists: Pedro Ramirez Vazquez, architect and President of the Organising Committee for the Games, Eduardo Terrazas (MEX) and Lance Wyman (USA) who designed the Mexico 68 logo. They then developed it to create the black and white poster, which recalls the patterns of the Huichole Indians. Some 25,000 copies of the poster presented here were produced in one of the following colours: blue, red, yellow, green or black. A total of 1,591,000 posters were produced on the following themes : - 18 sports posters: 287,000 copies - 19 cultural posters: 190,500 copies - 99 posters of various topics : 1,114,000 copies
31	1968	2	17	It was created by the publicist Jean Brian. 170,000 copies were produced.
32	1972	1	49	Numerous posters were created for these Games, notably a series on the theme of sports competitions and cultural events. The official poster was meant to promote not one specific sports event, but the whole of the Munich Games. It was supposed to express the specific spirit of the Games. Here, the design evokes the modern architecture of the sporting venues, in a style and using colours which are purposefully simple and pure. In the centre of the background, the famous Olympic tower. 5,000 copies were made.
33	1972	2	23	Various well-known Japanese designers were involved in the creation of the posters - the first one was designed by Takashi Kono, the second and third by Yusaku Kamekura and the fourth by Gan Hosoya.
34	1976	1	7	The Games Organising Committee made two main series of posters. The first illustrated eight key themes: - the emblem of the International Olympic Committee (here) : entitled “The Invitation” and representing the five rings reflected symbolically by successive waves, thus inviting the athletes from all the continents to the 1976 Olympic Games. - the emblem of the Organising Committee - Kingston 1976 - Olympia and the Olympic torch carrier - Montreal and Antiquity - the Olympic Stadium - the international youth camp - the mascot The second series illustrates sports.
35	1976	2	3	Guided by the principle of not showing one sporting discipline in particular, Arthur Zelger the designer of the poster created a neutral poster, showing a skate, a common feature of winter sports. This skate symbolizes all the disciplines found in the Winter Games: a ski run, a sledge or bobsleigh and the blade of a skate. The white rectangle on the tip makes the “I” of Innsbruck. On the right, in the background, the coloured peaks symbolize the Tyrolean mountains.
36	1980	1	37	It featured the emblem of the 1980 Olympic Games in Moscow: a section of a running track rising into an architectural silhouette typical of Moscow and a five-pointed star topping the silhouette.
37	1980	2	45	It features the official emblem representing a mountain and a double Olympic cauldron, commemorating the Games already held in Lake Placid in 1932.
38	1984	2	50	It features the official emblem, a stylised snowflake with the Olympic rings above.
39	1984	1	45	The star is a universal symbol of the highest aspirations of mankind, the horizontal bars portray the speed. Sixteen renowned artists designed 15 posters for the Games. The subsequent posters were signed by John Baldessari, Jennifer Bartlet, Jonathan Bofsky, April Greiman abd Jayme Odgers, Raymond Saunders and Garry Winogrand.
40	1988	2	7	View of the city of Calgary, above the Olympic rings, the official emblem and the title "Come Together in Calgary Host City for the XV Olympic Winter Games February 13-28, 1988 Calgary, Alberta, Canada".
42	1992	2	17	Mountains, white snow, blue sky, the sun and Olympism are the different elements that make up this poster. The range of bold colours and the overall simplicity of the design makes it immediately recognisable to all. Jean-Claude Killy and Michel Barnier presented the official poster of the XVI Olympic Winter Games in Albertville and Savoie for the first time on 7 February 1991, exactly one year before the Games
43	1992	1	38	'The Organising Committee for the Barcelona Olympic Games developed a highly ambitious project, which involved 58 different posters grouped in four collections : the official Olympic posters, the painters'' posters, the designers'' posters and the photographic sports posters. For the four official sports posters and the eight painters'' posters, in addition to the normal print run there was a limited edition in silk-screen and lithograph signed be the authors, which the Organising Committee used as prestige gifts for the VIPs who visited Barcelona. Here one of the official posters with the emblem created by Josep M. Trias.'
44	1994	2	30	The posters, produced following the rules of the Lillehammer Games design programme, were meant to incorporate three main aspects : Norwegian originality and particularity, human contact and contact between mankind and nature. The design programme was the main tool in achieving the goal of presenting a unified image. It featured basic visual elements which could be combined in different ways to serve as a basis for recognition and identification : the Lillehammer emblem, the pictograms, the pictographic emblems, the crystal theme, colours, typography and the mascots.
45	1996	1	45	The International Olympic Committee (IOC) President, Juan Antonio Samaranch, chose this image drawn by an artist from "The Look of the Games", Primo Angeli, as the official poster for the 1996 Olympic Games. "The Look of the Games", was established by the Creation Department to ensure the best quality in the design and production of all visible materials for the Atlanta Games.
46	1998	2	23	Five kinds of official posters and seven sport-specific posters were printed for these Games, In addition, for the first time at the Olympic Winter Games, a special poster was created for the Opening Ceremony. The first poster created was designated as the official poster for the XVIII Olympic Winter Games to be preserved for posterity. It shows a thrush perched on a ski pole with mountains in the light of dawn, evoking the concept of harmony with nature. It was designed by Masuteru Aoba.
47	2000	1	1	To reflect a diversity of styles and techniques, the Organizing Committee asked several poster designers from a wide range of different creative and cultural backgrounds to create posters. In total, 50 posters were published. The official poster was selected from creations presented in the following four categories: “Schoolchildren’s work”, “Sydney 2000 emblems”, “Mascots” and “Posters”.
48	2002	2	45	Polychrome poster composed of a photo representing a flag carrying the logo of the XIX Olympic Winter Games. The flag floats above the mountaintop in the background. Publisher: SLOOC; Fine Art, Saint-Louis.
49	2004	1	20	
50	2006	2	22	The official poster of Torino 2006 designated by the Torino Organising Committee (TOROC) The poster has as central element entitled the "Mole Antonelliana", a symbol which reflects the values of the Games, Sports and of the hosting territory.
51	2008	1	8	
52	2010	2	7	
53	2012	1	44	
54	2014	2	33	The official poster captures the essence of the Games in Sochi. The Caucasian Mountains soar majestically above the Black Sea, symbolising the two competition clusters, one on the coast in Sochi, even for the ice events, and the other in the Krasnaya Polyana valley, for the snow, bobsleigh, luge and skeleton events. The emblem of the XXII Olympic Winter Games occupies the whole of the centre, with its unusual feature: the presence of the internet address, a symbol of modernity, innovation and dynamism. At the top is the slogan, “Hot. Cool. Yours.” “Hot”, for the intensity of the sporting competition, the passion of the spectators and the location of these Games, in southern Russia. “Cool” is a reference to the Winter Games and the traditional image of Russia as having a cold climate. The last word, “Yours”, shows that the Games belong to the athletes and the public, and that everyone can get involved in making them a success.
55	2016	1	5	
56	2018	2	36	
